,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Team 1 Name,Player 2 Team 1 Name,Team 1 Seed,Player 1 Team 2 Name,Player 2 Team 2 Name,Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
0,Blibli_Indonesia_Open,2018-07-07,Indonesia,MD,4,0,32,Japan,Chinesetaipei,Takuto Inoue,Yuki Kaneko,7,Liao Min Chun,Su Ching Heng,0,21,13,21,11,0,0,42,24,2,0,4,0,7,3,2,1,1
1,Yonex_All_England_Open,2018-03-17,England,MD,4,0,38,Indonesia,Denmark,Marcus Fernaldi Gideon,Kevin Sanjaya Sukamuljo,1,Mads Conrad-Petersen,Mads Pieler Kolding,6,21,11,21,19,0,0,42,30,2,0,3,0,5,5,6,2,1
2,Blibli_Indonesia_Open,2018-07-06,Indonesia,MD,4,0,29,Chinesetaipei,Indonesia,Liao Min Chun,Su Ching Heng,0,Berry Angriawan,Hardianto Hardianto,0,21,13,21,8,0,0,42,21,2,0,3,0,9,3,2,1,1
3,Yonex_All_England_Open,2018-03-16,England,MD,4,0,30,Indonesia,Chinesetaipei,Marcus Fernaldi Gideon,Kevin Sanjaya Sukamuljo,1,Chen Hung Ling,Wang Chi-Lin,7,21,15,21,13,0,0,42,28,2,0,4,0,4,4,5,0,1
4,Blibli_Indonesia_Open,2018-07-04,Indonesia,MD,6,0,62,Indonesia,China,Ricky Karandasuwardi,Angga Pratama,0,He Ji Ting,Tan Qiang,0,16,21,21,17,26,24,63,62,2,1,6,3,5,5,2,0,1
5,Yonex_All_England_Open,2018-03-18,England,MD,4,0,42,Indonesia,Denmark,Marcus Fernaldi Gideon,Kevin Sanjaya Sukamuljo,1,Mathias Boe,Carsten Mogensen,2,21,18,21,17,0,0,42,35,2,0,2,0,4,4,5,4,1
6,Blibli_Indonesia_Open,2018-07-07,Indonesia,MD,4,0,24,Indonesia,Indonesia,Marcus Fernaldi Gideon,Kevin Sanjaya Sukamuljo,1,Fajar Alfian,Muhammad Rian Ardianto,0,21,13,21,10,0,0,42,23,2,0,4,0,6,2,6,4,1
7,Blibli_Indonesia_Open,2018-07-06,Indonesia,MD,6,0,65,Indonesia,Denmark,Marcus Fernaldi Gideon,Kevin Sanjaya Sukamuljo,1,Mads Conrad-Petersen,Mads Pieler Kolding,5,20,22,22,20,21,18,63,60,2,1,5,1,6,4,6,2,1
8,Blibli_Indonesia_Open,2018-07-03,Indonesia,MD,6,0,58,Indonesia,China,Berry Angriawan,Hardianto Hardianto,0,Han Cheng Kai,Zhou Hao Dong,0,20,22,21,18,21,18,62,58,2,1,3,2,5,5,2,1,1
9,Yonex_All_England_Open,2018-03-15,England,MD,4,0,47,China,Denmark,Li Jun Hui,Liu Yu Chen,3,Kim Astrup,Anders Skaarup Rasmussen,0,21,17,21,17,0,0,42,34,2,0,7,0,10,5,9,1,1
