Rank,Country/Territory,Name,Date,Points Accumulated
1,CHN,He Ji Ting,2024-09-10,"75,850"
2,TPE,Lee Jhe-Huei,2024-09-10,"67,350"
3,DEN,Kim Astrup,2024-09-10,"64,000"
4,KOR,Kang Min Hyuk,2024-09-10,"56,300"
5,INA,Fajar Alfian,2024-09-10,"55,520"
6,MAS,Choong Hon Jian,2024-09-10,"54,600"
7,MAS,Goh Sze Fei,2024-09-10,"50,660"
8,MAS,Man Wei Chong,2024-09-10,"48,260"
9,THA,Supak Jomkoh,2024-09-10,"47,660"
10,IND,Satwiksairaj Rankireddy,2024-09-10,"47,210"
11,MAS,Aaron Chia,2024-09-10,"46,440"
12,INA,Sabar Karyaman Gutama,2024-09-10,"46,040"
13,JPN,Takuro Hoki,2024-09-10,"45,560"
14,INA,Muhammad Shohibul Fikri,2024-09-10,"45,330"
15,CHN,Liang Wei Keng,2024-09-10,"43,490"
16,DEN,Rasmus Kjær,2024-09-10,"43,060"
17,TPE,Lin Bing-Wei,2024-09-10,"40,810"
18,JPN,Kenya Mitsuhashi,2024-09-10,"40,540"
19,CHN,Chen Bo Yang,2024-09-10,"39,580"
20,INA,Leo Rolly Carnando,2024-09-10,"37,850"
21,DEN,Daniel Lundgaard,2024-09-10,"37,800"
22,TPE,Fang-Chih Lee,2024-09-10,"37,690"
23,ENG,Ben Lane,2024-09-10,"35,920"
24,TPE,Lee Yang,2024-09-10,"35,900"
25,TPE,Lu Ching Yao,2024-09-10,"35,790"
26,THA,Peeratchai Sukphun,2024-09-10,"32,940"
27,FRA,Christo Popov,2024-09-10,"32,540"
28,DEN,Andreas Søndergaard,2024-09-10,"32,200"
29,INA,Mohammad Ahsan,2024-09-10,"31,980"
30,CHN,Liu Yu Chen,2024-09-10,"31,910"
31,GER,Bjarne Geiss,2024-09-10,"31,470"
32,MAS,Low Hang Yee,2024-09-10,"30,630"
33,TPE,Ming Che Lu,2024-09-10,"30,470"
34,IND,Krishna Prasad Garaga,2024-09-10,"30,330"
