,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Name,Player 1 Seed,Player 2 Name,Player 2 Seed,Points Set 1 Player 1,Points Set 1 Player 2,Points Set 2 Player 1,Points Set 2 Player 2,Points Set 3 Player 1,Points Set 3 Player 2,Total Points Player 1,Total Points Player 2,Sets Won Player 1,Sets Won Player 2,Total Game Points Player 1,Total Game Points Player 2,Most Consecutive Points Player 1,Most Consecutive Points Player 2,Player 1 Head to Head Analysis,Player 2 Head to Head Analysis,Match Winner
0,Yonex_All_England_Open,2018-03-18,England,MS,3,0,75,China,China,Shi Yu Qi,7,Lin Dan,6,21,19,16,21,21,9,58,49,2,1,3,1,7,3,5,2,1
1,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,3,0,68,Indonesia,Thailand,Tommy Sugiarto,,Khosit Phetpradab,,20,22,21,10,21,16,62,48,2,1,7,1,7,5,2,0,1
2,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,3,0,59,Japan,Denmark,Kanta Tsuneyama,,Jan O Jorgensen,,12,21,21,17,21,6,54,44,2,1,3,1,9,5,2,0,1
3,Yonex_All_England_Open,2018-03-17,England,MS,2,0,45,China,Korea,Shi Yu Qi,7,Son Wan Ho,5,21,17,21,14,0,0,42,31,2,0,3,0,7,4,6,4,1
4,Blibli_Indonesia_Open,2018-07-06,Indonesia,MS,2,0,38,Japan,Indonesia,Kento Momota,,Tommy Sugiarto,,21,11,21,15,0,0,42,26,2,0,4,0,6,4,9,3,1
5,Blibli_Indonesia_Open,2018-07-05,Indonesia,MS,2,0,49,Japan,Indonesia,Kento Momota,,Anthony Sinisuka Ginting,,21,14,21,15,0,0,42,29,2,0,4,0,7,8,11,5,1
6,Yonex_All_England_Open,2018-03-17,England,MS,3,0,61,China,China,Lin Dan,6,Huang Yu Xiang,,21,14,13,21,21,11,55,46,2,1,3,1,4,4,2,0,1
7,Yonex_All_England_Open,2018-03-15,England,MS,3,0,64,Malaysia,Korea,Lee Chong Wei,2,Lee Dong Keun,,21,6,13,21,21,18,55,45,2,1,2,1,7,7,4,0,1
8,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,2,0,38,Indonesia,Netherlands,Anthony Sinisuka Ginting,,Mark Caljouw,,21,9,21,17,0,0,42,26,2,0,3,0,8,2,1,0,1
9,Blibli_Indonesia_Open,2018-07-08,Indonesia,MS,2,0,38,Japan,Denmark,Kento Momota,,Viktor Axelsen,1,21,14,21,9,0,0,42,23,2,0,2,0,6,3,14,5,1
10,Blibli_Indonesia_Open,2018-07-06,Indonesia,MS,2,0,43,Malaysia,Thailand,Lee Chong Wei,7,Kantaphon Wangcharoen,,21,13,22,20,0,0,43,33,2,0,3,0,7,4,1,0,1
11,Blibli_Indonesia_Open,2018-07-07,Indonesia,MS,3,0,52,Denmark,China,Viktor Axelsen,1,Shi Yu Qi,3,18,21,21,14,21,11,60,46,2,1,3,1,5,4,10,3,1
12,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,3,0,86,France,China,Brice Leverdez,,Chen Long,5,17,21,22,20,21,19,60,60,2,1,2,2,10,8,1,6,1
13,Yonex_All_England_Open,2018-03-16,England,MS,2,0,52,China,Malaysia,Lin Dan,6,Lee Chong Wei,2,21,16,21,17,0,0,42,33,2,0,2,0,6,4,13,6,1
14,Yonex_All_England_Open,2018-03-14,England,MS,3,0,58,India,France,Kidambi Srikanth,3,Brice Leverdez,,7,21,21,14,22,20,50,55,2,1,2,2,4,6,5,1,1
15,Blibli_Indonesia_Open,2018-07-06,Indonesia,MS,2,0,34,Denmark,Japan,Viktor Axelsen,1,Kanta Tsuneyama,,21,11,21,10,0,0,42,21,2,0,2,0,6,2,6,1,1
16,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,3,0,60,India,China,Prannoy H. S.,8,Lin Dan,,21,15,9,21,21,14,51,50,2,1,3,2,5,8,3,2,1
17,Blibli_Indonesia_Open,2018-07-07,Indonesia,MS,2,0,52,Japan,Malaysia,Kento Momota,,Lee Chong Wei,7,23,21,21,12,0,0,44,33,2,0,7,1,8,4,2,2,1
18,Yonex_All_England_Open,2018-03-15,England,MS,2,0,45,Japan,Hongkong,Kenta Nishimoto,,Ng Ka Long Angus,,21,12,21,15,0,0,42,27,2,0,4,0,8,3,7,3,1
19,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,2,0,35,Chinesetaipei,India,Wang Tzu Wei,,Sai Praneeth B.,,21,10,21,13,0,0,42,23,2,0,3,0,9,4,4,0,1
20,Yonex_All_England_Open,2018-03-14,England,MS,2,0,46,China,Denmark,Lin Dan,6,Hans-Kristian Solberg Vittinghus,,21,19,21,16,0,0,42,35,2,0,4,0,7,4,5,1,1
21,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,3,0,60,Japan,India,Kento Momota,,Kidambi Srikanth,4,12,21,21,14,21,15,54,50,2,1,3,3,4,8,16,4,1
22,Victor_China_Open,2018-09-18,China,MS,3,0,51,Korea,Hongkong,Son Wan Ho,4,Lee Cheuk Yiu,,19,21,21,5,21,13,61,39,2,1,2,2,12,5,4,0,1
23,Victor_China_Open,2018-09-19,China,MS,2,0,42,China,Indonesia,Shi Yu Qi,2,Tommy Sugiarto,,23,21,21,13,0,0,44,34,2,0,2,3,5,3,3,1,1
24,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,2,0,39,Japan,Thailand,Kazumasa Sakai,,Tanongsak Saensomboonsuk,,21,17,21,13,0,0,42,30,2,0,2,0,4,4,1,1,1
25,Yonex_All_England_Open,2018-03-16,England,MS,2,0,39,China,China,Shi Yu Qi,7,Chen Long,4,21,10,21,17,0,0,42,27,2,0,2,0,5,4,2,5,1
26,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,3,0,60,Malaysia,Hongkong,Lee Chong Wei,7,Ng Ka Long Angus,,21,15,18,21,21,10,60,46,2,1,3,1,4,4,8,1,1
27,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,2,0,39,Denmark,Indonesia,Viktor Axelsen,1,Jonatan Christie,,21,10,21,19,0,0,42,29,2,0,2,0,6,4,10,2,1
28,Blibli_Indonesia_Open,2018-07-05,Indonesia,MS,2,0,47,Malaysia,Denmark,Lee Chong Wei,7,Anders Antonsen,,21,12,21,15,0,0,42,27,2,0,2,0,8,5,1,0,1
29,Victor_China_Open,2018-09-18,China,MS,3,0,54,Indonesia,China,Anthony Sinisuka Ginting,,Lin Dan,,22,24,21,5,21,19,64,48,2,1,3,7,7,5,2,3,1
30,Blibli_Indonesia_Open,2018-07-06,Indonesia,MS,2,0,39,China,India,Shi Yu Qi,3,Prannoy H. S.,8,21,17,21,18,0,0,42,35,2,0,3,0,6,4,7,2,1
31,Victor_China_Open,2018-09-19,China,MS,2,0,31,India,Denmark,Kidambi Srikanth,7,Rasmus Gemke,,21,9,21,19,0,0,42,28,2,0,2,0,7,5,1,1,1
32,Yonex_All_England_Open,2018-03-16,England,MS,3,0,78,Korea,Japan,Son Wan Ho,5,Kenta Nishimoto,,21,18,9,21,21,14,51,53,2,1,2,2,8,6,6,3,1
33,Victor_China_Open,2018-09-20,China,MS,2,0,45,Indonesia,Denmark,Anthony Sinisuka Ginting,,Viktor Axelsen,1,21,18,21,17,0,0,42,35,2,0,3,0,6,4,5,13,1
34,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,3,0,69,India,Denmark,Sameer Verma,,Rasmus Gemke,,21,9,12,21,22,20,55,50,2,1,5,2,7,4,3,0,1
35,Yonex_All_England_Open,2018-03-15,England,MS,2,0,43,Korea,Indonesia,Son Wan Ho,5,Jonatan Christie,,21,16,21,12,0,0,42,28,2,0,4,0,7,6,4,2,1
36,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,2,0,33,Chinesetaipei,Hongkong,Chou Tien Chen,6,Wong Wing Ki Vincent,,21,17,21,11,0,0,42,28,2,0,4,0,4,4,6,3,1
37,Yonex_All_England_Open,2018-03-16,England,MS,3,0,77,China,India,Huang Yu Xiang,,Prannoy H. S.,,20,22,21,16,23,21,64,59,2,1,6,1,5,8,3,2,1
38,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,3,0,62,China,England,Shi Yu Qi,3,Rajiv Ouseph,,16,21,21,18,21,18,58,57,2,1,3,1,3,4,4,2,1
39,Yonex_All_England_Open,2018-03-14,England,MS,2,0,34,China,China,Chen Long,4,Qiao Bin,,21,13,21,11,0,0,42,24,2,0,3,0,6,5,3,0,1
40,Victor_China_Open,2018-09-22,China,MS,3,0,68,Indonesia,Chinesetaipei,Anthony Sinisuka Ginting,,Chou Tien Chen,5,12,21,21,17,21,15,54,53,2,1,5,1,4,5,10,6,1
41,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,3,0,56,Thailand,Korea,Kantaphon Wangcharoen,,Lee Hyun Il,,21,13,12,21,24,22,57,56,2,1,6,1,4,4,1,1,1
42,Victor_China_Open,2018-09-19,China,MS,2,0,34,Hongkong,India,Ng Ka Long Angus,8,Prannoy H. S.,,21,16,21,12,0,0,42,28,2,0,3,0,4,4,7,6,1
43,Victor_China_Open,2018-09-20,China,MS,2,0,35,China,Denmark,Chen Long,6,Jan O Jorgensen,,21,10,21,5,0,0,42,15,2,0,2,0,6,2,11,2,1
44,Victor_China_Open,2018-09-22,China,MS,2,0,40,Japan,China,Kento Momota,3,Shi Yu Qi,2,21,10,21,17,0,0,42,27,2,0,6,0,7,3,6,6,1
