,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Team 1 Name,Player 2 Team 1 Name,Team 1 Seed,Player 1 Team 2 Name,Player 2 Team 2 Name,Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
0,Yonex_All_England_Open,2018-03-16,England,WD,6,0,80,Japan,China,Shiho Tanaka,Koharu Yonemoto,5,Chen Qing Chen,Jia Yi Fan,1,14,21,21,17,21,15,56,53,2,1,3,1,7,6,4,2,1
1,Yonex_All_England_Open,2018-03-15,England,WD,4,0,39,Japan,Indonesia,Misaki Matsutomo,Ayaka Takahashi,2,Della Destiara Haris,Rizki Amelia Pradipta,0,21,12,21,14,0,0,42,26,2,0,3,0,7,5,6,0,1
2,Blibli_Indonesia_Open,2018-07-05,Indonesia,WD,4,0,33,Korea,Indonesia,Lee So Hee,Shin Seung Chan,6,Dian Fitriani,Nadya Melati,0,21,12,21,10,0,0,42,22,2,0,3,0,6,4,1,1,1
3,Yonex_All_England_Open,2018-03-17,England,WD,4,0,42,Denmark,Japan,Kamilla Rytter Juhl,Christinna Pedersen,3,Mayu Matsumoto,Wakana Nagahara,0,21,15,22,20,0,0,43,35,2,0,5,0,5,4,1,1,1
4,Blibli_Indonesia_Open,2018-07-06,Indonesia,WD,4,0,50,Japan,Indonesia,Yuki Fukushima,Sayaka Hirota,2,Greysia Polii,Apriyani Rahayu,7,21,14,22,20,0,0,43,34,2,0,4,3,5,3,8,4,1
5,Yonex_All_England_Open,2018-03-14,England,WD,4,0,48,Bulgaria,Indonesia,Gabriela Stoeva,Stefani Stoeva,0,Greysia Polii,Apriyani Rahayu,6,21,11,21,19,0,0,42,30,2,0,2,0,5,6,1,4,1
6,Yonex_All_England_Open,2018-03-18,England,WD,4,0,60,Denmark,Japan,Kamilla Rytter Juhl,Christinna Pedersen,3,Yuki Fukushima,Sayaka Hirota,4,21,19,21,18,0,0,42,37,2,0,2,0,4,3,2,2,1
7,Blibli_Indonesia_Open,2018-07-08,Indonesia,WD,6,0,56,Japan,Japan,Yuki Fukushima,Sayaka Hirota,2,Mayu Matsumoto,Wakana Nagahara,0,21,14,16,21,21,14,58,49,2,1,2,4,3,8,7,8,1
8,Blibli_Indonesia_Open,2018-07-07,Indonesia,WD,4,0,39,Japan,China,Mayu Matsumoto,Wakana Nagahara,0,Chen Qing Chen,Jia Yi Fan,1,21,13,21,18,0,0,42,31,2,0,3,0,7,5,2,12,1
9,Yonex_All_England_Open,2018-03-17,England,WD,6,0,71,Japan,Japan,Yuki Fukushima,Sayaka Hirota,4,Shiho Tanaka,Koharu Yonemoto,5,16,21,21,10,21,12,58,43,2,1,3,1,5,6,6,2,1
