Rank,Country/Territory,Name,Date,Points Accumulated
1,JPN,Rin Iwanaga,2024-09-03,"77,550"
2,KOR,Baek Ha Na,2024-09-03,"66,240"
3,CHN,Liu Sheng Shu,2024-09-03,"63,460"
4,CHN,Li Yi Jing,2024-09-03,"58,650"
5,IND,Tanisha Crasto,2024-09-03,"56,080"
6,IND,Treesa Jolly,2024-09-03,"53,770"
7,JPN,Nami Matsuyama,2024-09-03,"52,820"
8,MAS,Tan Pearly,2024-09-03,"51,150"
9,USA,Francesca Corbett,2024-09-03,"47,900"
10,CHN,Zhang Shu Xian,2024-09-03,"47,530"
11,AUS,Setyana Mapasa,2024-09-03,"44,210"
12,TPE,Chang Ching Hui,2024-09-03,"44,110"
13,JPN,Mayu Matsumoto,2024-09-03,"43,610"
14,CHN,Chen Qing Chen,2024-09-03,"43,600"
15,KOR,Kim So Yeong,2024-09-03,"42,830"
16,HKG,Yeung Nga Ting,2024-09-03,"42,540"
17,INA,Febriana Dwipuji Kusuma,2024-09-03,"42,170"
18,CHN,Li Wen Mei,2024-09-03,"41,290"
19,TPE,Sung Shuo Yun,2024-09-03,"39,100"
20,KOR,Lee Yu Lim,2024-09-03,"37,740"
21,IND,Rutaparna Panda,2024-09-03,"37,720"
22,BUL,Gabriela Stoeva,2024-09-03,"36,020"
23,FRA,Margot Lambert,2024-09-03,"34,690"
24,TPE,Hsu Ya Ching,2024-09-03,"34,230"
25,TPE,Hsu Yin-Hui,2024-09-03,"32,710"
26,THA,Laksika Kanlaha,2024-09-03,"31,920"
27,USA,Annie Xu,2024-09-03,"31,600"
28,UKR,Polina Buhrova,2024-09-03,"31,540"
29,JPN,Rui Hirokami,2024-09-03,"31,030"
30,DEN,Maiken Fruergaard,2024-09-03,"30,700"
31,INA,Jesita Putri Miantoro,2024-09-03,"29,720"
32,CHN,Keng Shu Liang,2024-09-03,"29,690"
33,TPE,Lee Chia Hsin,2024-09-03,"28,370"
34,JPN,Rena Miyaura,2024-09-03,"27,590"
35,KOR,Jeong Na Eun,2024-09-03,"27,300"
36,INA,Apriyani Rahayu,2024-09-03,"27,090"
37,NED,Debora Jille,2024-09-03,"26,740"
38,INA,Meilysa Trias Puspitasari,2024-09-03,"25,130"
39,MAS,Vivian Hoo,2024-09-03,"24,550"
40,USA,Paula Lynn Cao Hok,2024-09-03,"22,600"
41,INA,Lanny Tria Mayasari,2024-09-03,"20,020"
42,GER,Linda Efler,2024-09-03,"19,890"
43,THA,Benyapa Aimsaard,2024-09-03,"17,920"
44,THA,Ornnicha Jongsathapornparn,2024-09-03,"16,640"
45,IND,Simran Singhi,2024-09-03,"16,570"
46,CHN,Wang Ting Ge,2024-09-03,"16,570"
47,TPE,Cheng Yu-Pei,2024-09-03,"16,160"
48,JPN,Yuki Fukushima,2024-09-03,"15,820"
49,TPE,Huang Yu-Hsun,2024-09-03,"15,740"
50,DEN,Julie Finne-Ipsen,2024-09-03,"15,540"
51,TPE,Hsieh Pei Shan,2024-09-03,"14,420"
52,JPN,Kokona Ishikawa,2024-09-03,"13,960"
53,DEN,Natasja P. Anthonisen,2024-09-03,"13,540"
54,MAS,Go Pei Kee,2024-09-03,"13,410"
55,IND,Priya Konjengbam,2024-09-03,"13,340"
56,CAN,Catherine Choi,2024-09-03,"13,120"
57,CAN,Jackie Dent,2024-09-03,"10,930"
58,TPE,Nicole Gonzales Chan,2024-09-03,"10,800"
59,CHN,Chen Xiao Fei,2024-09-03,"10,180"
60,MAS,Lai Pei Jing,2024-09-03,"10,020"
61,IND,Ashwini Bhat K.,2024-09-03,"9,660"
62,HKG,Lui Lok Lok,2024-09-03,"9,580"
63,IND,Palak Arora,2024-09-03,"9,510"
64,TPE,Lee Chih Chen,2024-09-03,"9,380"
65,TPE,Teng Chun Hsun,2024-09-03,"9,360"
66,UGA,Husina Kobugabe,2024-09-03,"9,260"
67,AUS,Kaitlyn Ea,2024-09-03,"8,930"
68,THA,Prinda Pattanawaritthipan,2024-09-03,"8,660"
69,CHN,Bao Li Jing,2024-09-03,"8,530"
70,THA,Phattharin Aiamvareesrisakul,2024-09-03,"8,480"
71,HKG,Fan Ka Yan,2024-09-03,"8,400"
72,DEN,Amalie Cecilie Kudsk,2024-09-03,"8,270"
73,TPE,Hung En-Tzu,2024-09-03,"8,000"
74,TPE,Hu Ling Fang,2024-09-03,"7,910"
75,GER,Isabel Lohau,2024-09-03,"7,790"
76,SWE,Moa Sjoo,2024-09-03,"7,720"
77,CHN,Jia Yi Fan,2024-09-03,"7,700"
78,TPE,Chiu Pin-Chian,2024-09-03,"7,620"
79,SCO,Julie Macpherson,2024-09-03,"7,170"
80,CHN,Huang Ke Xin,2024-09-03,"6,880"
81,JPN,Mizuki Otake,2024-09-03,"6,790"
82,GER,Linda Efler,2024-09-03,"6,710"
83,BRA,Jaqueline Lima,2024-09-03,"6,680"
