,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
0,Yonex_All_England_Open,2018-03-17,England,XD,4,0,43,Japan,China,"Yuta Watanabe, Arisa Higashino",0,"Yuta Watanabe, Arisa Higashino",8,21,14,21,18,0,0,42,32,2,0,2,0,6,4,1,2,1
1,Yonex_All_England_Open,2018-03-18,England,XD,6,0,62,Japan,China,"Yuta Watanabe, Arisa Higashino",0,"Yuta Watanabe, Arisa Higashino",5,15,21,22,20,21,16,58,57,2,1,3,3,7,4,5,15,1
2,Blibli_Indonesia_Open,2018-07-07,Indonesia,MD,4,0,32,Japan,Chinesetaipei,"Takuto Inoue, Yuki Kaneko",7,"Takuto Inoue, Yuki Kaneko",0,21,13,21,11,0,0,42,24,2,0,4,0,7,3,2,1,1
3,Blibli_Indonesia_Open,2018-07-06,Indonesia,XD,4,0,33,Indonesia,China,"Tontowi Ahmad, Liliyana Natsir",1,"Tontowi Ahmad, Liliyana Natsir",5,21,17,21,14,0,0,42,31,2,0,3,0,10,5,4,0,1
4,Blibli_Indonesia_Open,2018-07-05,Indonesia,XD,4,0,40,Indonesia,Thailand,"Ricky Karandasuwardi, Debby Susanto",0,"Ricky Karandasuwardi, Debby Susanto",0,21,14,21,19,0,0,42,33,2,0,3,0,4,5,1,1,1
5,Yonex_All_England_Open,2018-03-16,England,WD,6,0,80,Japan,China,"Shiho Tanaka, Koharu Yonemoto",5,"Shiho Tanaka, Koharu Yonemoto",1,14,21,21,17,21,15,56,53,2,1,3,1,7,6,4,2,1
6,Blibli_Indonesia_Open,2018-07-04,Indonesia,XD,4,0,37,Chinesetaipei,Indonesia,"Wang Chi-Lin, Lee Chia Hsin",0,"Wang Chi-Lin, Lee Chia Hsin",0,21,12,26,24,0,0,47,36,2,0,4,3,6,4,1,0,1
7,Yonex_All_England_Open,2018-03-15,England,WD,4,0,39,Japan,Indonesia,"Misaki Matsutomo, Ayaka Takahashi",2,"Misaki Matsutomo, Ayaka Takahashi",0,21,12,21,14,0,0,42,26,2,0,3,0,7,5,6,0,1
8,Blibli_Indonesia_Open,2018-07-03,Indonesia,WS,4,0,35,Thailand,Indonesia,Ratchanok Intanon,4,Ratchanok Intanon,0,21,8,21,16,0,0,42,24,2,0,5,0,9,3,8,0,1
9,Yonex_All_England_Open,2018-03-18,England,WS,4,0,45,Chinesetaipei,Japan,Tai Tzu Ying,1,Tai Tzu Ying,2,22,20,21,13,0,0,43,33,2,0,2,1,4,4,12,12,1
10,Blibli_Indonesia_Open,2018-07-07,Indonesia,WS,6,0,83,China,Korea,Chen Yu Fei,5,Chen Yu Fei,7,21,23,21,18,23,21,65,62,2,1,4,3,8,4,10,1,1
11,Yonex_All_England_Open,2018-03-17,England,MD,4,0,38,Indonesia,Denmark,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",6,21,11,21,19,0,0,42,30,2,0,3,0,5,5,6,2,1
12,Blibli_Indonesia_Open,2018-07-06,Indonesia,MD,4,0,29,Chinesetaipei,Indonesia,"Liao Min Chun, Su Ching Heng",0,"Liao Min Chun, Su Ching Heng",0,21,13,21,8,0,0,42,21,2,0,3,0,9,3,2,1,1
13,Yonex_All_England_Open,2018-03-14,England,WS,6,0,67,Canada,Thailand,Michelle Li,0,Michelle Li,3,21,15,14,21,21,19,56,55,2,1,2,1,6,5,2,7,1
14,Yonex_All_England_Open,2018-03-18,England,MS,6,0,75,China,China,Shi Yu Qi,7,Shi Yu Qi,6,21,19,16,21,21,9,58,49,2,1,3,1,7,3,5,2,1
15,Yonex_All_England_Open,2018-03-16,England,WS,4,0,32,Chinesetaipei,Japan,Tai Tzu Ying,1,Tai Tzu Ying,0,21,12,21,13,0,0,42,25,2,0,3,0,5,5,10,2,1
16,Blibli_Indonesia_Open,2018-07-05,Indonesia,WD,4,0,33,Korea,Indonesia,"Lee So Hee, Shin Seung Chan",6,"Lee So Hee, Shin Seung Chan",0,21,12,21,10,0,0,42,22,2,0,3,0,6,4,1,1,1
17,Yonex_All_England_Open,2018-03-17,England,WD,4,0,42,Denmark,Japan,"Kamilla Rytter Juhl, Christinna Pedersen",3,"Kamilla Rytter Juhl, Christinna Pedersen",0,21,15,22,20,0,0,43,35,2,0,5,0,5,4,1,1,1
18,Blibli_Indonesia_Open,2018-07-07,Indonesia,XD,4,0,30,Indonesia,Indonesia,"Tontowi Ahmad, Liliyana Natsir",1,"Tontowi Ahmad, Liliyana Natsir",0,21,18,21,8,0,0,42,26,2,0,3,0,6,3,2,1,1
19,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,6,0,68,Indonesia,Thailand,Tommy Sugiarto,0,Tommy Sugiarto,0,20,22,21,10,21,16,62,48,2,1,7,1,7,5,2,0,1
20,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,6,0,59,Japan,Denmark,Kanta Tsuneyama,0,Kanta Tsuneyama,0,12,21,21,17,21,6,54,44,2,1,3,1,9,5,2,0,1
21,Yonex_All_England_Open,2018-03-15,England,XD,4,0,33,Indonesia,England,"Praveen Jordan, Debby Susanto",4,"Praveen Jordan, Debby Susanto",0,21,12,21,17,0,0,42,29,2,0,7,0,6,5,1,0,1
22,Blibli_Indonesia_Open,2018-07-06,Indonesia,WD,4,0,50,Japan,Indonesia,"Yuki Fukushima, Sayaka Hirota",2,"Yuki Fukushima, Sayaka Hirota",7,21,14,22,20,0,0,43,34,2,0,4,3,5,3,8,4,1
23,Yonex_All_England_Open,2018-03-18,England,WD,4,0,60,Denmark,Japan,"Kamilla Rytter Juhl, Christinna Pedersen",3,"Kamilla Rytter Juhl, Christinna Pedersen",4,21,19,21,18,0,0,42,37,2,0,2,0,4,3,2,2,1
24,Yonex_All_England_Open,2018-03-16,England,MD,4,0,30,Indonesia,Chinesetaipei,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",7,21,15,21,13,0,0,42,28,2,0,4,0,4,4,5,0,1
25,Yonex_All_England_Open,2018-03-17,England,MS,4,0,45,China,Korea,Shi Yu Qi,7,Shi Yu Qi,5,21,17,21,14,0,0,42,31,2,0,3,0,7,4,6,4,1
26,Blibli_Indonesia_Open,2018-07-07,Indonesia,WS,4,0,31,Chinesetaipei,China,Tai Tzu Ying,1,Tai Tzu Ying,8,21,13,21,18,0,0,42,31,2,0,2,0,4,3,16,4,1
27,Blibli_Indonesia_Open,2018-07-03,Indonesia,WS,4,0,43,Japan,Thailand,Akane Yamaguchi,2,Akane Yamaguchi,0,21,15,21,19,0,0,42,34,2,0,2,0,4,3,6,0,1
28,Yonex_All_England_Open,2018-03-14,England,WD,4,0,48,Bulgaria,Indonesia,"Gabriela Stoeva, Stefani Stoeva",0,"Gabriela Stoeva, Stefani Stoeva",6,21,11,21,19,0,0,42,30,2,0,2,0,5,6,1,4,1
29,Yonex_All_England_Open,2018-03-18,England,MD,4,0,42,Indonesia,Denmark,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",2,21,18,21,17,0,0,42,35,2,0,2,0,4,4,5,4,1
30,Blibli_Indonesia_Open,2018-07-05,Indonesia,XD,4,0,38,Indonesia,Japan,"Tontowi Ahmad, Liliyana Natsir",1,"Tontowi Ahmad, Liliyana Natsir",0,23,21,21,19,0,0,44,40,2,0,9,0,6,4,1,0,1
31,Blibli_Indonesia_Open,2018-07-06,Indonesia,MS,4,0,38,Japan,Indonesia,Kento Momota,0,Kento Momota,0,21,11,21,15,0,0,42,26,2,0,4,0,6,4,9,3,1
32,Yonex_All_England_Open,2018-03-15,England,WS,6,0,66,India,Thailand,Pusarla V. Sindhu,4,Pusarla V. Sindhu,0,21,13,13,21,21,18,55,52,2,1,3,1,6,7,5,2,1
