,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Team 1 Name,Player 2 Team 1 Name,Team 1 Seed,Player 1 Team 2 Name,Player 2 Team 2 Name,Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
0,Yonex_All_England_Open,2018-03-17,England,XD,4,0,43,Japan,China,Yuta Watanabe,Arisa Higashino,0,Zhang Nan,Li Yin Hui,8,21,14,21,18,0,0,42,32,2,0,2,0,6,4,1,2,1
1,Blibli_Indonesia_Open,2018-07-06,Indonesia,XD,4,0,33,Indonesia,China,Tontowi Ahmad,Liliyana Natsir,1,Zhang Nan,Li Yin Hui,5,21,17,21,14,0,0,42,31,2,0,3,0,10,5,4,0,1
2,Yonex_All_England_Open,2018-03-18,England,XD,6,0,62,Japan,China,Yuta Watanabe,Arisa Higashino,0,Zheng Si Wei,Huang Ya Qiong,5,15,21,22,20,21,16,58,57,2,1,3,3,7,4,5,15,1
3,Blibli_Indonesia_Open,2018-07-05,Indonesia,XD,4,0,40,Indonesia,Thailand,Ricky Karandasuwardi,Debby Susanto,0,Dechapol Puavaranukroh,Sapsiree Taerattanachai,0,21,14,21,19,0,0,42,33,2,0,3,0,4,5,1,1,1
4,Blibli_Indonesia_Open,2018-07-04,Indonesia,XD,4,0,37,Chinesetaipei,Indonesia,Wang Chi-Lin,Lee Chia Hsin,0,Riky Widianto,Masita Mahmudin,0,21,12,26,24,0,0,47,36,2,0,4,3,6,4,1,0,1
5,Yonex_All_England_Open,2018-03-15,England,XD,4,0,33,Indonesia,England,Praveen Jordan,Debby Susanto,4,Marcus Ellis,Lauren Smith,0,21,12,21,17,0,0,42,29,2,0,7,0,6,5,1,0,1
6,Blibli_Indonesia_Open,2018-07-07,Indonesia,XD,4,0,30,Indonesia,Indonesia,Tontowi Ahmad,Liliyana Natsir,1,Hafiz Faizal,Gloria Emanuelle Widjaja,0,21,18,21,8,0,0,42,26,2,0,3,0,6,3,2,1,1
7,Blibli_Indonesia_Open,2018-07-05,Indonesia,XD,4,0,38,Indonesia,Japan,Tontowi Ahmad,Liliyana Natsir,1,Yugo Kobayashi,Misaki Matsutomo,0,23,21,21,19,0,0,44,40,2,0,9,0,6,4,1,0,1
8,Yonex_All_England_Open,2018-03-16,England,XD,4,0,45,Denmark,Indonesia,Mathias Christiansen,Christinna Pedersen,6,Praveen Jordan,Debby Susanto,4,21,16,21,15,0,0,42,31,2,0,2,0,4,4,1,0,1
9,Blibli_Indonesia_Open,2018-07-07,Indonesia,XD,4,0,36,Malaysia,China,Chan Peng Soon,Goh Liu Ying,0,Zheng Si Wei,Huang Ya Qiong,4,21,18,21,16,0,0,42,34,2,0,2,0,4,4,1,3,1
