Rank,Country/Territory,Name,Date,Points Accumulated
1,CHN,Jiang Zhen Bang,2024-09-10,"75,340"
2,MAS,Chen Tang Jie,2024-09-10,"64,460"
3,MAS,Goh Soon Huat,2024-09-10,"61,950"
4,KOR,Kim Won Ho,2024-09-10,"61,260"
5,INA,Dejan Ferdinansyah,2024-09-10,"60,890"
6,THA,Dechapol Puavaranukroh,2024-09-10,"59,680"
7,TPE,Yang Po-Hsuan,2024-09-10,"59,120"
8,MAS,Tan Kian Meng,2024-09-10,"58,590"
9,INA,Rehan Naufal Kusharjanto,2024-09-10,"57,220"
10,SGP,Hee Yong Kai Terry,2024-09-10,"56,140"
11,CHN,Zheng Si Wei,2024-09-10,"55,050"
12,JPN,Hiroki Midorikawa,2024-09-10,"49,850"
13,NED,Robin Tabeling,2024-09-10,"49,590"
14,DEN,Mads Vestergaard,2024-09-10,"48,500"
15,INA,Rinov Rivaldy,2024-09-10,"48,180"
16,JPN,Yuta Watanabe,2024-09-10,"46,010"
17,HKG,Tang Chun Man,2024-09-10,"45,950"
18,THA,Ruttanapak Oupthong,2024-09-10,"43,820"
19,CHN,Cheng Xing,2024-09-10,"43,210"
20,THA,Supak Jomkoh,2024-09-10,"42,680"
21,TPE,Ye Hong Wei,2024-09-10,"38,810"
22,IND,Reddy B. Sumeeth,2024-09-10,"38,190"
23,CHN,Feng Yan Zhe,2024-09-10,"37,710"
24,KOR,Seo Seung Jae,2024-09-10,"37,500"
25,JPN,Yuki Kaneko,2024-09-10,"37,340"
26,HKG,Lee Chun Hei Reginald,2024-09-10,"36,960"
27,DEN,Mathias Christiansen,2024-09-10,"34,650"
28,THA,Pakkapon Teeraratsakul,2024-09-10,"32,500"
29,TPE,Chang Ko-Chi,2024-09-10,"31,730"
30,CHN,Guo Xin Wa,2024-09-10,"29,360"
31,IND,Sathish Kumar Karunakaran,2024-09-10,"28,930"
32,MAS,Hoo Pang Ron,2024-09-10,"28,410"
33,USA,Vinson Chiu,2024-09-10,"28,190"
34,TPE,Chen Cheng Kuan,2024-09-10,"27,030"
35,MAS,Choong Hon Jian,2024-09-10,"25,490"
36,INA,Adnan Maulana,2024-09-10,"24,890"
37,DEN,Jesper Toft,2024-09-10,"24,510"
38,JPN,Kyohei Yamashita,2024-09-10,"24,420"
39,FRA,Thom Gicquel,2024-09-10,"23,500"
40,TPE,Wu Hsuan-Yi,2024-09-10,"22,550"
41,MAS,Chan Peng Soon,2024-09-10,"21,410"
42,GER,Jan Colin Voelker,2024-09-10,"20,420"
43,CHN,Zhou Zhi Hong,2024-09-10,"19,800"
44,INA,Jafar Hidayatullah,2024-09-10,"19,450"
45,ENG,Marcus Ellis,2024-09-10,"19,200"
46,USA,Presley Smith,2024-09-10,"19,010"
47,IND,Dhruv Kapila,2024-09-10,"18,720"
48,MAS,Roy King Yap,2024-09-10,"18,510"
49,GER,Mark Lamsfuss,2024-09-10,"18,280"
50,TPE,Lin Bing-Wei,2024-09-10,"17,950"
51,TPE,Ming Che Lu,2024-09-10,"17,460"
52,DEN,Mathias Thyrri,2024-09-10,"17,000"
53,AUS,Kenneth Zhe Hooi Choo,2024-09-10,"16,760"
54,DEN,Jesper Toft,2024-09-10,"15,280"
55,IND,Ashith Surya,2024-09-10,"14,550"
56,GER,Jones Ralfy Jansen,2024-09-10,"14,480"
57,HKG,Lui Chun Wai,2024-09-10,"14,070"
58,ENG,Gregory Mairs,2024-09-10,"13,740"
59,TPE,Chen Zhi Ray,2024-09-10,"13,170"
60,TPE,Lu Chen,2024-09-10,"12,900"
61,TPE,Chiu Hsiang Chieh,2024-09-10,"12,880"
62,TPE,Wei Chun Wei,2024-09-10,"12,820"
63,TPE,Po Li-Wei,2024-09-10,"12,490"
64,CHN,Guo Xin Wa,2024-09-10,"12,480"
65,ISR,Misha Zilberman,2024-09-10,"12,330"
66,USA,Chen Zhi Yi,2024-09-10,"12,330"
67,JPN,Hiroki Nishi,2024-09-10,"12,010"
68,MAS,Wong Tien Ci,2024-09-10,"11,810"
69,CAN,Ty Alexander Lindeman,2024-09-10,"11,320"
70,TPE,Ye Hong Wei,2024-09-10,"9,360"
71,TPE,Chang Ko-Chi,2024-09-10,"9,310"
72,UKR,Oleksii Titov,2024-09-10,"9,270"
73,HKG,Hung Kuei Chun,2024-09-10,"9,140"
74,IND,Kona Tarun,2024-09-10,"8,690"
75,JPN,Yuichi Shimogami,2024-09-10,"8,550"
76,KOR,Ko Sung Hyun,2024-09-10,"8,480"
77,IND,Dingku Singh Konthoujam,2024-09-10,"8,000"
78,USA,Linden Wang,2024-09-10,"7,630"
78,TPE,Cheng Kai Wen,2024-09-10,"7,630"
80,AUS,Kai Chen Teoh,2024-09-10,"7,470"
81,SCO,Alexander Dunn,2024-09-10,"7,450"
82,CHN,Cheng Xing,2024-09-10,"7,200"
83,BRA,Fabricio Farias,2024-09-10,"7,170"
84,TPE,Lai Po Yu,2024-09-10,"7,010"
85,TPE,Liu Kuang Heng,2024-09-10,"6,920"
86,GER,Malik Bourakkadi,2024-09-10,"6,750"
86,BRA,Davi Silva,2024-09-10,"6,750"
88,MAC,Leong Iok Chong,2024-09-10,"6,620"
89,THA,Neuaduang Mangkornloi,2024-09-10,"6,500"
90,ALG,Koceila Mammeri,2024-09-10,"6,340"
91,IND,Rohan Kapoor,2024-09-10,"6,150"
92,DEN,Rasmus Espersen,2024-09-10,"6,090"
93,IND,Venkat Gaurav Prasad,2024-09-10,"5,900"
94,KOR,Wang Chan,2024-09-10,"5,820"
95,GER,Patrick Volkmann,2024-09-10,"5,670"
96,TPE,Chiu Hsiang Chieh,2024-09-10,"5,580"
97,CHN,Zhang Han Yu,2024-09-10,"5,500"
97,INA,Jafar Hidayatullah,2024-09-10,"5,500"
99,IND,Rohan Kapoor,2024-09-10,"5,270"
99,CAN,Jonathan Bing Tsan Lai,2024-09-10,"5,270"
1,CHN,Jiang Zhen Bang,2024-08-27,"71,740"
2,INA,Dejan Ferdinansyah,2024-08-27,"60,890"
3,THA,Dechapol Puavaranukroh,2024-08-27,"59,680"
4,MAS,Goh Soon Huat,2024-08-27,"58,580"
5,INA,Rehan Naufal Kusharjanto,2024-08-27,"55,840"
6,SGP,Hee Yong Kai Terry,2024-08-27,"55,590"
7,MAS,Chen Tang Jie,2024-08-27,"55,260"
8,CHN,Zheng Si Wei,2024-08-27,"55,050"
9,MAS,Tan Kian Meng,2024-08-27,"54,990"
10,KOR,Kim Won Ho,2024-08-27,"54,840"
11,NED,Robin Tabeling,2024-08-27,"49,590"
12,INA,Rinov Rivaldy,2024-08-27,"48,180"
13,TPE,Yang Po-Hsuan,2024-08-27,"48,130"
14,JPN,Hiroki Midorikawa,2024-08-27,"47,630"
15,DEN,Mads Vestergaard,2024-08-27,"46,280"
16,JPN,Yuta Watanabe,2024-08-27,"46,010"
17,HKG,Tang Chun Man,2024-08-27,"45,950"
18,THA,Supak Jomkoh,2024-08-27,"42,680"
19,THA,Ruttanapak Oupthong,2024-08-27,"42,150"
20,IND,Reddy B. Sumeeth,2024-08-27,"38,190"
21,CHN,Feng Yan Zhe,2024-08-27,"37,710"
22,KOR,Seo Seung Jae,2024-08-27,"37,500"
23,JPN,Yuki Kaneko,2024-08-27,"37,340"
24,HKG,Lee Chun Hei Reginald,2024-08-27,"36,960"
25,CHN,Cheng Xing,2024-08-27,"36,790"
26,DEN,Mathias Christiansen,2024-08-27,"34,650"
27,TPE,Ye Hong Wei,2024-08-27,"33,910"
28,TPE,Chang Ko-Chi,2024-08-27,"31,730"
29,CHN,Guo Xin Wa,2024-08-27,"29,360"
30,USA,Vinson Chiu,2024-08-27,"28,190"
31,IND,Sathish Kumar Karunakaran,2024-08-27,"27,260"
32,MAS,Hoo Pang Ron,2024-08-27,"26,190"
33,THA,Pakkapon Teeraratsakul,2024-08-27,"25,500"
34,INA,Adnan Maulana,2024-08-27,"24,890"
35,JPN,Kyohei Yamashita,2024-08-27,"24,420"
36,FRA,Thom Gicquel,2024-08-27,"23,500"
37,MAS,Choong Hon Jian,2024-08-27,"23,270"
38,TPE,Chen Cheng Kuan,2024-08-27,"22,060"
39,MAS,Chan Peng Soon,2024-08-27,"21,410"
40,GER,Jan Colin Voelker,2024-08-27,"20,420"
41,DEN,Jesper Toft,2024-08-27,"19,470"
42,INA,Jafar Hidayatullah,2024-08-27,"19,450"
43,ENG,Marcus Ellis,2024-08-27,"19,200"
44,MAS,Roy King Yap,2024-08-27,"18,510"
45,GER,Mark Lamsfuss,2024-08-27,"18,280"
46,DEN,Mathias Thyrri,2024-08-27,"17,000"
47,USA,Presley Smith,2024-08-27,"16,790"
48,AUS,Kenneth Zhe Hooi Choo,2024-08-27,"16,760"
49,TPE,Wu Hsuan-Yi,2024-08-27,"16,480"
50,CHN,Zhou Zhi Hong,2024-08-27,"16,200"
51,DEN,Jesper Toft,2024-08-27,"15,280"
52,GER,Jones Ralfy Jansen,2024-08-27,"14,480"
53,ENG,Gregory Mairs,2024-08-27,"13,740"
54,IND,Ashith Surya,2024-08-27,"12,880"
55,ISR,Misha Zilberman,2024-08-27,"12,330"
56,JPN,Hiroki Nishi,2024-08-27,"12,010"
57,TPE,Lin Bing-Wei,2024-08-27,"11,880"
58,TPE,Ming Che Lu,2024-08-27,"11,390"
59,HKG,Lui Chun Wai,2024-08-27,"11,320"
59,CAN,Ty Alexander Lindeman,2024-08-27,"11,320"
61,TPE,Lu Chen,2024-08-27,"11,230"
62,TPE,Wei Chun Wei,2024-08-27,"11,150"
63,IND,Dhruv Kapila,2024-08-27,"11,020"
64,USA,Chen Zhi Yi,2024-08-27,"10,110"
65,TPE,Po Li-Wei,2024-08-27,"9,740"
66,TPE,Chen Zhi Ray,2024-08-27,"9,280"
67,IND,Kona Tarun,2024-08-27,"8,690"
68,UKR,Oleksii Titov,2024-08-27,"7,980"
69,TPE,Chiu Hsiang Chieh,2024-08-27,"7,910"
70,USA,Linden Wang,2024-08-27,"7,630"
71,HKG,Hung Kuei Chun,2024-08-27,"7,470"
72,SCO,Alexander Dunn,2024-08-27,"7,450"
73,CHN,Cheng Xing,2024-08-27,"7,200"
74,IND,Dingku Singh Konthoujam,2024-08-27,"7,180"
75,BRA,Fabricio Farias,2024-08-27,"7,170"
76,BRA,Davi Silva,2024-08-27,"6,750"
76,GER,Malik Bourakkadi,2024-08-27,"6,750"
78,TPE,Chang Ko-Chi,2024-08-27,"6,560"
79,MAS,Wong Tien Ci,2024-08-27,"6,540"
80,ALG,Koceila Mammeri,2024-08-27,"6,340"
81,AUS,Kai Chen Teoh,2024-08-27,"6,180"
82,IND,Rohan Kapoor,2024-08-27,"6,150"
83,DEN,Rasmus Espersen,2024-08-27,"6,090"
84,TPE,Cheng Kai Wen,2024-08-27,"5,960"
85,IND,Venkat Gaurav Prasad,2024-08-27,"5,900"
86,KOR,Wang Chan,2024-08-27,"5,820"
87,GER,Patrick Volkmann,2024-08-27,"5,670"
88,TPE,Chiu Hsiang Chieh,2024-08-27,"5,580"
89,CHN,Zhang Han Yu,2024-08-27,"5,500"
90,CAN,Jonathan Bing Tsan Lai,2024-08-27,"5,270"
90,IND,Rohan Kapoor,2024-08-27,"5,270"
92,INA,Amri Syahnawi,2024-08-27,"5,140"
93,IND,Nitin Kumar,2024-08-27,"5,100"
94,USA,Joshua Yuan,2024-08-27,"5,040"
95,KOR,Ko Sung Hyun,2024-08-27,"4,880"
96,CHN,Guo Xin Wa,2024-08-27,"4,680"
96,CHN,Zhu Yi Jun,2024-08-27,"4,680"
98,TPE,Chen Sheng Fa,2024-08-27,"4,660"
99,KOR,Kim Young Hyuk,2024-08-27,"4,440"
100,SCO,Adam Hall,2024-08-27,"4,420"
1,CHN,Jiang Zhen Bang,2024-09-03,"75,340"
2,MAS,Chen Tang Jie,2024-09-03,"64,460"
3,MAS,Goh Soon Huat,2024-09-03,"61,950"
4,KOR,Kim Won Ho,2024-09-03,"61,260"
5,INA,Dejan Ferdinansyah,2024-09-03,"60,890"
6,THA,Dechapol Puavaranukroh,2024-09-03,"59,680"
7,MAS,Tan Kian Meng,2024-09-03,"58,590"
8,INA,Rehan Naufal Kusharjanto,2024-09-03,"57,220"
9,SGP,Hee Yong Kai Terry,2024-09-03,"56,140"
10,CHN,Zheng Si Wei,2024-09-03,"55,050"
11,TPE,Yang Po-Hsuan,2024-09-03,"53,170"
12,JPN,Hiroki Midorikawa,2024-09-03,"49,850"
13,NED,Robin Tabeling,2024-09-03,"49,590"
